Author Index for Volume 94


Aaboe, M 1465
Aaltonen, K 1697
Abecassis, J 1041
Achen, MG 1355
Ackers, C 1231
Adam, E 1734
Adighibe, O 1176
Agus, DB 85
A'Hern, RP 631
Ahlin, C 1697
Ahmad, T 74
Ahmed, AA 1326
Ahmed, S 1921
Aitchison, M 781
Aithal, GP 1751
Ajioka, Y 293
Akazawa, K 1510
Akino, K 914
Akiya, T 1803
Al Murri, AM 227
Alam-Fahmy, M 1906
Al-Batran, S-E 1615
Albini, A 1428
Alfsen, GC 820
Alken, P 578
Allan, S 828
Allen, NE 299
Allgood, PC 36
Alliot, C 935, 938
Altundag, K 338
Amini, R-M 1697
Ammerpohl, O 323
Andersen, JB 1465
Anderson, E 1021
Anderson, JH 1833
Anderson, KE 757
Anderson, TJ 1051, 1333
Andersson, S 1045
André, T 1287
Androulakis, N 798
Ang, R 346
Angerson, WJ 1833
Ångstrom, T 1913
Ansieau, S 13
Anthoney, DA 1281
Antoine, M 473
Antonescu, C 1770
Antonopoulos, M 947
Anttinen, J 147
Aprile, G 785
Ardanaz, E 299
Ardern-Jones, A 308
Armer, T 1021
Arnould, L 259
Aromaa, A 1245
Artru, P 1287
Arumuguma, M 1204
Ashley, S 18, 43, 358
Athanasiadis, A 798
Athanasou, NA 1496
Atkin, G 121
Atkinson, R 62
Atmaca, A 1615
Atzpodien, J 1785
Auborn, K 407
Auvinen, A 1352
Åvall-Lundqvist, E 1683
Avallone, A 1809
Aversa, SML 1550
Avis, M 1253
Baas, P 625
Baba, K 1599
Babiker, A 1504
Bachelot, T 1066
Bachman, KE 455
Bachmann, MO 36
Backe, J-C 1342
Bae, D-S 1678
Bae, J-M 1402
Baek, JH 1407
Baeuerle, PA 128
Bagley, S 842
Bagstaff, SM 1936
Bai, J 686
Baildam, AD 1021
Balañá, C 1797
Baldini, E 1263
Baldus, C 43
Bali, A 904
Balinandi, S 446
Ballestrero, A 1016
Baltaci, M 835
Balzano, G 785
Bamford, S 318
Banna, GL 1550
Baptista, MZ 338
Baptiste, MS 1738
Baranowski, AP 178
Baras, A 1436
Barbera, C 743
Barget, N 287
Barnes, N 253
Baron-Hay, S 904
Barr, H 1460
Barraclough, R 1057
Barranco, WT 884
Bartlett, JB 1412
Bartlett, JMS 227
Basten, GP 1942
Batra, RK 1029
Beale, P 964
Beale, PJ 208
Beaugrand, M 287
Beaune, P 692
Beckmann, JS 1537
Beham, A 1122
Beijnen, JH 1226
Belderbos, JSA 625
Bell, RF 1559
Bellec, S 763
Benamouzig, R 1823
Ben-Asher, E 1537
Bengala, C 1016
Bennett, G 593
Bennouna, J 69, 1383
Benoit, L 259
Benoy, IH 672
Beomonte Zobel, B 792
Beral, V 1504
Bergenheim, AT 1853
Berger, F 1066
Berkhof, J 171
Berking, C 1879
Bernardini, R 1428
Bernaudin, J-F 1164
Berrino, F 299
Bertetto, O 1122
Bertheau, P 259
Berthois, Y 239
Beskow, C 1683
Bessaguet, C 1214
Betticher, DC 1099
Bhopal, R 1079
Bianco, AR 1604
Bicknell, R 1
Biessy, C 299
Billingham, LJ 287, 1898
Bingham, SA 299
Bingle, L 101
Birch-Machin, MA 1887
Birembaut, P 724
Biryahwaho, B 446
Bischof Delaloye, A 1770
Bischoff, J 1615
Bishop, H 828
Black, J 1107
Blay, J-Y 1066
Blohmer, J-U 1237
Blomqvist, C 1697
Blons, H 692
Bloomfield, D 828
Bogdanova, T 1472
Bohle, RM 323
Boillot, C 299
Bojesen, SE 323
Bolaños, M 969
Bomsztyk, K 586
Boneberg, E-M 524
Bonetto, E 785
Bonin, S 879
Bonnetain, F 259
Borden, EC 1465
Bordenave, S 69
Borgoño, CA 540
Borkhardt, A 323
Boshoff, C 1504
Botti, G 1233
Bouchardy, C 231
Bouchier-Hayes, DJ 1320
Bourboulia, D 1504
Bourne, S 121
Bouvet, M 1311
Boven, E 1627
Box, C 631
Boyer, MJ 208
Brabletz, T 1672
Brągoszewski, P 586
Brain, E 1610
Bramley, M 1021
Brandes, AA 785
Bras, J 1837
Braselmann, H 1472
Brasnu, D 692
Breau, J-L 1823
Bregni, M 1016
Breitbach, G-P 1237
Brenner, H 450
Brenton, JD 1326
Breton, J-L 1383
Bria, E 1789
Bricaire, F 1000
Brock, A 1079
Brock, C 1217
Brodie, AMH 513
Brooks, CL 1555
Brophy, S 1320
Brougham, B 43
Brouty-Boyé, D 1180
Brown, G 351
Brown, JE 469
Brown, JS 561, 647
Brown, KA 1144
Brown, MD 842
Brown, MM 1621
Brown, NJ 101
Brown, P 1650
Brown, R 1087
Brown, SC 1621
Brownbill, PA 22
Broxterman, HJ 1627
Brunner, S 1726
Bryzgunova, OE 1492
Bubendorf, L 128
Buchegger, F 1770
Budczies, J 1672
Budillon, A 1809
Budner, M 1237
Bueno-de-Mesquita, HB 299
Buesa, JM 1797
Bui, B 1395
Bujnicki, JM 586
Bukawa, H 698, 717
Bulk, S 171
Bulkmans, NWJ 171
Bulten, J 814
Bundred, NJ 253
Bunstead, Z 507
Buonaguro, FM 446
Buonaguro, L 446
Burge, ME 1281
Burgers, JA 625
Buring, JE 757
Burkhardt, M 540
Burton, C 806
Burton, S 351
Burtt, G 569
Bustová, I 1122
Cabaret, V 259
Cahill, S 398
Caldas, C 1326
Caldwell, GM 922
Callard, P 1164
Campbell, NC 1272
Campo, L 1176
Canney, PA 227
Cantarella, G 1428
Canzian, F 299
Caporale, R 1637
Caputo, F 1604
Cardenal, F 1375
Cardis, E 1352
Cardoso, T 1621
Carlini, B 1845
Carlini, P 1789
Carpenter, L 1504
Carreon, JD 1690
Carter, T 407
Casabonne, D 1504
Casado, A 1797
Casado, E 969
Cascini, LG 1809
Casparie, MK 752
Cassidy, J 1122
Castano, AP 391
Catalano, G 1604
Cataldo, D 724
Caumes, E 1000
Cecere, FL 1789
Cellai, C 1637
Cerny, T 1099
Cerundolo, V 1496
Chae, YS 1407
Chaganti, RSK 614
Chajès, V 299
Chakraborty, C 1154
Chamorey, E 1516
Chan, AT 928
Chan, JK 642
Chan, S 55
Chandanos, E 136
Chang, JT 870
Chang-Claude, J 299
Chao, D 1217
Chappuis, PO 231
Chari, R 1927
Charnock, MFL 1650
Chartier, M 1342
Chastang, J-F 152
Chatrath, P 1170
Chaturvedi, A 427, 1554
Chau, I 1107
Chechlińska, M 1761
Chen, D 1555
Chen, E 1136
Chen, L 642
Chen, Y-J 870
Chen, Y-L 870
Cheng, A-J 870
Cheng, Y 287, 1898
Cheok, MH 93
Cheung, MK 642
Chiarion-Sileni, V 1550
Chiarugi, A 743
Chiew, KS 1011
Chiodini, P 1233
Chirlaque, M-D 299
Cho, GJ 1407
Cho, Y 275
Choi, CH 1678
Choi, IJ 1402
Choi, J-J 1678
Choi, YJ 1407
Chokunonga, E 450
Chong, G 937
Chowdhry, S 1913
Chua, A 1436
Chun, JH 1402
Chung, JS 1407
Cianfrocca, ME 1621
Ciardiello, F 1604
Ciccarese, M 1789
Cinti, R 1845
Clamp, AR 55
Clarke, NW 842
Clarke, RB 1021
Clarke, SJ 208, 964
Clavel, J 763, 1342
Clavel-Chapelon, F 299
Clements, J 318
Cleton-Jansen, A-M 661
Cleveland, RJ 299
Coe, BP 1927
Coebergh, JWW 752
Cognetti, F 1548, 1789
Cohen, M 79
Cohen, RB 1621
Colantuoni, G 1604
Colditz, GA 928
Coleman, N 1170
Coleman, R 62
Coleman, RE 30, 469
Colin, C 1383
Colpaert, CG 1643
Colquitt, JL 982
Comella, P 1809
Conan-Charlet, V 1214
Conte, PF 1016, 1263
Copeland, M 308
Coppola, R 792
Cordio, S 785
Corke, KP 101
Cornelisse, CJ 661
Corpuz, MR 654
Corrias, MV 1845
Cotton, SC 1253
Coudert, B 259
Coulet, F 473
Coulson, P 499
Coursaget, P 1949
Cowan-Jacob, S 1765
Coward, J 18
Cowell, W 1122
Coxon, F 1122
Coy, JF 578
Craft, AW 22
Craig, M 1777
Crivellari, G 1550
Crozier, JEM 1833
Cruickshank, D 55
Cruickshank, M 1253
Crumley, ABC 637, 1568
Cucherat, M 1823
Culine, S 1395
Cunningham, D 351, 806, 937, 1107
Cunningham, MS 189
Cutz, J-C 1452
Cuzick, J 460
Cvitkovic, F 69
Czarnecki, A 1759
Da Prada, G 1016
Dahl, E 540
Dahl, K 1478
D'Aiuto, G 1233
Dale, J 372
Daley, FM 121
Dalgleish, AG 1412
D'Ambrosio, C 631
Dancey, J 1136
Daniels, F 1107
Daniels, IR 351
Danova, M 1016
Darbyshire, J 1504
Davidson, SE 115
Davies, HA 469
Davies, MPA 1057
Davies, RJ 1170
Dawson, E 318
De Castro, J 969
de Gramont, A 1287
de Hullu, JA 814
de Jonge, ME 1226
de Koning, HJ 1093
De Laurentiis, M 1604
De Maio, E 1233
de Matteis, A 1233
de Mon, Má 969
De Placido, S 1604
De Santis, M 1395
de Silva Rudland, S 1057
De Vita, F 1604
Deans, DAC 731
Dearnaley, D 499, 507, 1361
Deasy, JM 1320
Debus, J 1375
Del Freo, A 1263
Deleuze, J 1000
Delgado, F-M 1395
Dell'Eva, R 1428
Dell'Oro, S 785
Delrio, P 1809
Demkow, T 1395
Demols, A 481
Dempsey, GA 647
Denisenko, O 586
Denkert, C 540
Des Guetz, G 1823
Desruisseau, S 239
Dessypris, N 156
Deutsch, G 828
Di Carlo, V 785
Di Cosimo, S 1789
Di Lollo, S 1637
Di Maio, M 1233
Diadema, MR 1604
Diamandis, EP 540
Díaz-Rubio, E 1122
Dierssen, JWF 661
Dietel, M 540
Dietl, B 1544
Dikalioti, SK 156
Dillner, J 1913
Dirix, LY 672, 1643
Dittmer, J 176
Ditzel, HJ 1864
Dixon, JM 1051, 1333
Dixon, S 492
Djuzenova, CS 1194
Doak, SH 891
Dodd, M 647
Dodwell, D 30
Dogan, A 318
Doi, T 1803
Doihara, H 247
Donskov, F 218
Doran, P 1204
Dorval, E 69
Dossus, L 299
Doughty, JC 227
Douillard, J-Y 69, 1122, 1383
Downing, R 446
Doyle, E 1204
du Bois, A 79
du Manoir, S 1041
du Plessis, DG 1186
Dubinett, SM 1029
Dufour, P 1122
Dugas, B 854
Dunn, JR 1186
Dunning, AM 1921
Dupin, N 1000
Duraturo, ML 446
Duthie, SJ 1942
Duyndam, MCA 1627
Dyba, T 1245
Dyer, MJS 806
Dzwonek, A 586
Easton, DF 1921
Ebi, KL 161, 940
Eccles, SA 631
Eccleston, C 1559
Eckhert, CD 884
Edwards, DR 569
Edwards, L 43
Eeles, R 308, 499, 507
Egli, F 1099
Eickhoff, A 1572
Eickhoff, JC 1572
Eijkenboom, WMH 1389
Eilers, PH 661
Eisen, T 1217
Eisenberg, I 681
Eisendle, K 835
Eiser, C 469
Eisinger, F 340
Ekman, P 1658
Elling, D 1237
Ellis, LM 1710
Elst, H 672
Emile, J-F 1180
Emlet, DR 1144
Endo, Y 698, 717
English, WR 1326
Era, S 1874
Erlach, N 1718
Erlandsson, F 1045
Esaki, T 1803
Escudero, P 969
Essink-Bot, M-L 1093
Esteban, E 1797
Esteller, M 179
Esterman, A 1116
Evans, C 1412
Evans, DGR 1021
Evans, WE 93
Evrard, A-S 1342
Ewertz, M 1339
Fabbri, A 1263
Fabbrocini, G 743
Fabi, A 1789
Falcone, A 1263
Fan, F 1710
Fan, S 407
Fan, Y 1658
Fang, C-W 870
Fang, X 1658
Fearon, KCH 731
Fehn, M 1194
Felici, A 1548, 1789
Feliu, J 969
Ferguson, M 1176
Fermeaux, V 259
Ferretti, G 1548, 1789
Feychting, M 1352
Field, JK 561
Fietkau, R 976
Figer, A 1122
Fink, D 904
Fink, K 268
Finlayson, C 1412
Fioretta, G 231
Fischbacher, CM 1079
Fjällskog, M-L 1697
Flanagan, A 318
Flentje, M 1194
Fles, R 333
Flesch, M 1287
Flint, P 253
Foidart, J-M 724
Foitzik, T 976
Fokdal, L 1703
Foliart, DE 161, 940
Fontijn, D 1627
Forbes, S 318
Formento, J-L 1516
Fosså, SD 820
Fountzilas, G 1122
Fox, SB 1
Fra, J 1797
Franke, A 200
Frankendal, B 1683
Freudenheim, JL 757
