	pmcid	question	relevancy
0	1033658	1	0
0	1033958	1	0
0	1034932	1	0
0	1034982	1	0
0	1035890	1	0
0	1036421	1	0
0	1036599	1	0
0	1036765	1	0
0	1036894	1	0
0	1037001	1	0
0	1037069	1	0
0	1043897	1	0
0	1044014	1	0
0	1044051	1	0
0	1044089	1	0
0	1044223	1	0
0	1044649	1	0
0	1065010	1	0
0	1065094	1	0
0	1081442	1	0
0	1082070	1	0
0	1082445	1	0
0	1082486	1	0
0	1087222	1	0
0	1087851	1	0
0	1088250	1	0
0	1097737	1	0
0	1097744	1	0
0	1112595	1	0
0	1112600	1	0
0	1139167	1	0
0	1145137	1	0
0	1151650	1	0
0	1156894	1	0
0	1166571	1	0
0	1173116	1	0
0	1180830	1	0
0	1185558	1	0
0	1201136	1	2
0	1208953	1	0
0	1236944	1	2
0	1240772	1	0
0	1241467	1	0
0	1253515	1	0
0	1257428	1	0
0	1257451	1	0
0	1257602	1	0
0	1269455	1	0
0	1274327	1	0
0	1277832	1	0
0	1277845	1	0
0	1277865	1	0
0	1289285	1	0
0	1291370	1	0
0	1298305	1	0
0	130966	1	2
0	1310515	1	0
0	1316875	1	0
0	1318493	1	0
0	1323303	1	0
0	1323317	1	0
0	1325039	1	0
0	1326214	1	0
0	1326224	1	0
0	1327708	1	0
0	1342636	1	0
0	1352387	1	0
0	1373626	1	0
0	1379641	1	0
0	1382225	1	0
0	140012	1	0
0	1402267	1	2
0	1402280	1	1
0	1413531	1	0
0	1413554	1	0
0	1413557	1	0
0	1420300	1	0
0	1456962	1	0
0	1459121	1	0
0	1459915	1	0
0	1462991	1	0
0	1464150	1	0
0	1464384	1	0
0	1469946	1	0
0	1471802	1	0
0	1475887	1	2
0	149403	1	0
0	1513152	1	0
0	1513523	1	0
0	1526441	1	0
0	1543628	1	0
0	1544332	1	0
0	1550946	1	0
0	1552052	1	0
0	155634	1	2
0	1559601	1	2
0	1559700	1	0
0	1562443	1	0
0	1564027	1	0
0	1564030	1	0
0	1568101	1	0
0	1570135	1	0
0	1574302	1	0
0	1586195	1	0
0	1592293	1	0
0	1609124	1	0
0	1617089	1	0
0	1626475	1	0
0	1636717	1	0
0	1654167	1	0
0	1693563	1	0
0	1698479	1	0
0	1702343	1	0
0	1761145	1	0
0	1761892	1	0
0	1764004	1	0
0	1764009	1	0
0	1764014	1	0
0	1779773	1	0
0	1780264	1	0
0	1781429	1	0
0	1784684	1	0
0	1797157	1	0
0	1800846	1	0
0	1805051	1	0
0	1824728	1	0
0	1824731	1	0
0	1824760	1	0
0	1829155	1	0
0	183865	1	0
0	184375	1	0
0	1852545	1	0
0	1852908	1	0
0	1855694	1	0
0	1877876	1	0
0	1891107	1	0
0	1894829	1	0
0	1913172	1	0
0	1936305	1	0
0	1939729	1	0
0	1942180	1	0
0	194431	1	0
0	1950216	1	0
0	1963453	1	0
0	1973079	1	0
0	1994002	1	0
0	2007551	1	0
0	2008559	1	0
0	2009807	1	0
0	2010485	1	0
0	2011200	1	0
0	2014751	1	0
0	2014769	1	0
0	2034557	1	0
0	2034563	1	0
0	2039853	1	0
0	2040193	1	0
0	2045657	1	0
0	2050010	1	0
0	2050631	1	0
0	2051073	1	0
0	2051084	1	0
0	2051298	1	0
0	2072948	1	2
0	2094711	1	0
0	2096525	1	0
0	2096713	1	0
0	2125381	1	0
0	2125482	1	0
0	2128336	1	0
0	2128340	1	0
0	2128568	1	0
0	2129146	1	0
0	2131483	1	0
0	2132125	1	0
0	2133624	1	0
0	2137240	1	0
0	2174449	1	0
0	2174925	1	0
0	2222670	1	0
0	2232040	1	0
0	2245957	1	0
0	2246105	1	0
0	2253520	1	0
0	2254639	1	0
0	2267791	1	1
0	2270358	1	2
0	2275741	1	0
0	2275746	1	2
0	2276474	1	0
0	2277439	1	0
0	2288610	1	0
0	2291324	1	0
0	2315652	1	2
0	2323485	1	0
0	2329734	1	0
0	2329859	1	0
0	2335113	1	0
0	2363724	1	0
0	2366049	1	0
0	2366074	1	0
0	2377075	1	0
